Mesa1, 5 lugares, ocupado
Mesa2, 6 lugares, ocupado
Mesa3, 3 lugares, ocupado
Mesa4, 5 lugares, ocupado
Mesa5, 2 lugares, ocupado
Mesa6, 6 lugares, livre
Mesa7, 5 lugares, livre
Mesa8, 5 lugares, ocupado
Mesa9, 2 lugares, livre
Mesa10, 2 lugares, ocupado
Mesa11, 6 lugares, ocupado
Mesa12, 3 lugares, livre
Mesa13, 6 lugares, ocupado
Mesa14, 2 lugares, ocupado
Mesa15, 5 lugares, ocupado
Mesa16, 6 lugares, ocupado
Mesa17, 2 lugares, ocupado
Mesa18, 5 lugares, livre
Mesa19, 2 lugares, ocupado
Mesa20, 6 lugares, livre
